% channel_1000_DNS_196x160x196_MTF-mtf270_task2
% dt=8.177E-04
%
% node 1: j=10, y=  4.627762402457282E-003, yplus=4.6
% node 2: j=20, y=  1.441392271941726E-002, yplus=14
% node 3: j=40, y=  6.726684638316566E-002, yplus=67
% node 4: j=60, y=  0.253501789943420,      yplus=253
%
%     u1          v1         u2          v2          u3          v3          u4          v4
  3.958966E+00  -7.920901E-02   9.431247E+00  -4.299758E-02   1.696140E+01  -4.361942E-01   1.903690E+01   6.740083E-01
  3.970765E+00  -8.251490E-02   9.812440E+00  -1.090650E-01   1.724200E+01  -5.070853E-01   1.895990E+01   6.405775E-01
  3.965688E+00  -7.904437E-02   1.015291E+01  -1.456145E-01   1.733046E+01  -5.293183E-01   1.885592E+01   6.276896E-01
  3.946847E+00  -6.657343E-02   1.043399E+01  -1.509126E-01   1.722783E+01  -5.216887E-01   1.873401E+01   6.474191E-01
  3.921992E+00  -4.621949E-02   1.064473E+01  -1.338455E-01   1.697725E+01  -4.875182E-01   1.860148E+01   7.088607E-01
  3.900738E+00  -2.295200E-02   1.078167E+01  -1.086623E-01   1.665139E+01  -4.158567E-01   1.845922E+01   8.176220E-01
  3.891594E+00  -3.111812E-03   1.084722E+01  -8.755161E-02   1.633407E+01  -2.910152E-01   1.829985E+01   9.755336E-01
  3.899593E+00   9.282050E-03   1.084742E+01  -7.574601E-02   1.610230E+01  -1.049549E-01   1.811000E+01   1.179714E+00
  3.925111E+00   1.454847E-02   1.079003E+01  -7.140832E-02   1.601350E+01   1.340862E-01   1.787622E+01   1.420748E+00
  3.964130E+00   1.626647E-02   1.068394E+01  -6.910251E-02   1.609903E+01   4.011923E-01   1.759250E+01   1.680848E+00
  4.009854E+00   1.824341E-02   1.054000E+01  -6.381610E-02   1.636133E+01   6.621164E-01   1.726622E+01   1.933656E+00
  4.055106E+00   2.198590E-02   1.037220E+01  -5.309878E-02   1.677172E+01   8.837317E-01   1.691987E+01   2.147062E+00
  4.094611E+00   2.635223E-02   1.019821E+01  -3.688446E-02   1.727044E+01   1.042374E+00   1.658722E+01   2.288953E+00
  4.126258E+00   2.916923E-02   1.003805E+01  -1.623831E-02   1.777419E+01   1.126784E+00   1.630549E+01   2.334058E+00
  4.150733E+00   2.920223E-02   9.910889E+00   7.499627E-03   1.819392E+01   1.135084E+00   1.610756E+01   2.269390E+00
  4.169667E+00   2.694770E-02   9.830676E+00   3.269544E-02   1.845779E+01   1.068347E+00   1.601717E+01   2.096693E+00
  4.183182E+00   2.395878E-02   9.802058E+00   5.712803E-02   1.852933E+01   9.254620E-01   1.604800E+01   1.831777E+00
  4.188192E+00   2.160884E-02   9.818276E+00   7.825419E-02   1.841198E+01   7.032007E-01   1.620465E+01   1.501750E+00
  4.178470E+00   2.040706E-02   9.862170E+00   9.424016E-02   1.813845E+01   4.022734E-01   1.648306E+01   1.141232E+00
  4.146584E+00   2.026920E-02   9.910434E+00   1.052235E-01   1.775145E+01   3.652225E-02   1.686885E+01   7.882610E-01
  4.086734E+00   2.128678E-02   9.940069E+00   1.140542E-01   1.728885E+01  -3.603126E-01   1.733430E+01   4.800495E-01
  3.997054E+00   2.421891E-02   9.934948E+00   1.260639E-01   1.678527E+01  -7.360561E-01   1.783574E+01   2.485438E-01
  3.880252E+00   3.027796E-02   9.890069E+00   1.477901E-01   1.628744E+01  -1.032245E+00   1.831472E+01   1.160379E-01
  3.742501E+00   4.038855E-02   9.811722E+00   1.848340E-01   1.586416E+01  -1.203253E+00   1.870528E+01   9.166934E-02
  3.591449E+00   5.446940E-02   9.713259E+00   2.394441E-01   1.559261E+01  -1.232282E+00   1.894725E+01   1.700322E-01
  3.434488E+00   7.122798E-02   9.607978E+00   3.091079E-01   1.552750E+01  -1.134083E+00   1.900169E+01   3.327922E-01
  3.277894E+00   8.861182E-02   9.502104E+00   3.874900E-01   1.567753E+01  -9.447329E-01   1.886208E+01   5.530367E-01
  3.126690E+00   1.046706E-01   9.391216E+00   4.675029E-01   1.600384E+01  -7.087411E-01   1.855650E+01   8.008101E-01
  2.984770E+00   1.183419E-01   9.261882E+00   5.442986E-01   1.643303E+01  -4.709513E-01   1.813995E+01   1.047786E+00
  2.854997E+00   1.297021E-01   9.097673E+00   6.159880E-01   1.687220E+01  -2.720729E-01   1.768052E+01   1.269700E+00
  2.739332E+00   1.395381E-01   8.886714E+00   6.821357E-01   1.722452E+01  -1.439255E-01   1.724551E+01   1.446569E+00
  2.639223E+00   1.485481E-01   8.627674E+00   7.419898E-01   1.741119E+01  -1.031931E-01   1.689153E+01   1.561933E+00
  2.556205E+00   1.567528E-01   8.331965E+00   7.940753E-01   1.739674E+01  -1.461860E-01   1.666029E+01   1.602677E+00
  2.492366E+00   1.635047E-01   8.021510E+00   8.369099E-01   1.720267E+01  -2.486823E-01   1.657775E+01   1.560317E+00
  2.450213E+00   1.679073E-01   7.723178E+00   8.692615E-01   1.689742E+01  -3.718398E-01   1.665442E+01   1.433449E+00
  2.431919E+00   1.690974E-01   7.462244E+00   8.890479E-01   1.656607E+01  -4.718303E-01   1.688487E+01   1.230078E+00
  2.438323E+00   1.661647E-01   7.257238E+00   8.921006E-01   1.627533E+01  -5.116003E-01   1.724729E+01   9.682791E-01
  2.468241E+00   1.581244E-01   7.117547E+00   8.730298E-01   1.605063E+01  -4.726153E-01   1.770402E+01   6.743385E-01
  2.518320E+00   1.444310E-01   7.043697E+00   8.286621E-01   1.587570E+01  -3.606395E-01   1.820459E+01   3.788909E-01
  2.583233E+00   1.258614E-01   7.029231E+00   7.617322E-01   1.571221E+01  -2.008684E-01   1.869106E+01   1.124914E-01
  2.655955E+00   1.049955E-01   7.063012E+00   6.818123E-01   1.552593E+01  -2.572361E-02   1.910541E+01  -9.805872E-02
  2.728203E+00   8.567735E-02   7.131423E+00   6.023939E-01   1.530487E+01   1.367928E-01   1.939812E+01  -2.323156E-01
  2.791445E+00   7.154426E-02   7.220722E+00   5.355815E-01   1.506381E+01   2.693925E-01   1.953691E+01  -2.781277E-01
  2.838727E+00   6.433320E-02   7.319970E+00   4.872484E-01   1.483779E+01   3.662055E-01   1.951356E+01  -2.331160E-01
  2.866918E+00   6.290444E-02   7.424237E+00   4.552876E-01   1.467006E+01   4.298352E-01   1.934655E+01  -1.052614E-01
  2.878242E+00   6.366171E-02   7.536895E+00   4.318829E-01   1.459972E+01   4.675469E-01   1.907778E+01   8.806652E-02
  2.879968E+00   6.231546E-02   7.669552E+00   4.082573E-01   1.465248E+01   4.887394E-01   1.876369E+01   3.227722E-01
  2.882016E+00   5.602882E-02   7.839137E+00   3.787871E-01   1.483570E+01   5.033611E-01   1.846368E+01   5.716816E-01
  2.893467E+00   4.459459E-02   8.063144E+00   3.421135E-01   1.513742E+01   5.191929E-01   1.822959E+01   8.080523E-01
  2.919680E+00   2.989710E-02   8.355094E+00   2.993641E-01   1.552834E+01   5.373178E-01   1.809906E+01   1.008177E+00
  2.961281E+00   1.416533E-02   8.721912E+00   2.516966E-01   1.596650E+01   5.480981E-01   1.809358E+01   1.153143E+00
  3.015186E+00  -1.580089E-03   9.163665E+00   1.994381E-01   1.640390E+01   5.311174E-01   1.821937E+01   1.230415E+00
  3.076769E+00  -1.769733E-02   9.674648E+00   1.433403E-01   1.679417E+01   4.605600E-01   1.846888E+01   1.235713E+00
  3.142024E+00  -3.469423E-02   1.024423E+01   8.646058E-02   1.709994E+01   3.142307E-01   1.882150E+01   1.174792E+00
  3.209060E+00  -5.176115E-02   1.085655E+01   3.449389E-02   1.729861E+01   8.251500E-02   1.924351E+01   1.063811E+00
  3.278799E+00  -6.644807E-02   1.148945E+01  -6.494747E-03   1.738567E+01  -2.259036E-01   1.968951E+01   9.269044E-01
  3.355009E+00  -7.594125E-02   1.211409E+01  -3.381809E-02   1.737464E+01  -5.830225E-01   2.010723E+01   7.906441E-01
  3.443579E+00  -7.905012E-02   1.269612E+01  -5.062530E-02   1.729338E+01  -9.454723E-01   2.044656E+01   6.768736E-01
  3.550844E+00  -7.730206E-02   1.319834E+01  -6.466371E-02   1.717686E+01  -1.263134E+00   2.067041E+01   5.965716E-01
  3.681067E+00  -7.406564E-02   1.358346E+01  -8.339333E-02   1.705756E+01  -1.490207E+00   2.076297E+01   5.471352E-01
  3.833849E+00  -7.207910E-02   1.381642E+01  -1.082095E-01   1.695659E+01  -1.593692E+00   2.073175E+01   5.139174E-01
  4.002534E+00  -7.105887E-02   1.386719E+01  -1.312929E-01   1.687947E+01  -1.555826E+00   2.060298E+01   4.751340E-01
  4.174434E+00  -6.716212E-02   1.371571E+01  -1.371344E-01   1.681861E+01  -1.373945E+00   2.041310E+01   4.083358E-01
  4.332973E+00  -5.489932E-02   1.335982E+01  -1.085388E-01   1.675990E+01  -1.063027E+00   2.020005E+01   2.967024E-01
  4.461200E+00  -3.051692E-02   1.282354E+01  -3.492907E-02   1.668952E+01  -6.587116E-01   1.999694E+01   1.339937E-01
  4.545835E+00   5.103546E-03   1.216065E+01   8.089957E-02   1.659854E+01  -2.142921E-01   1.982867E+01  -7.254450E-02
